address,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,PriceEstimate,RentEstimate,imgSrc
"8436 Westway Dr, La Jolla, CA 92037",La Jolla,CA,92037,32.85942,-117.25042,17400000,10,7,8078,Single Family,19015900,61516,https://photos.zillowstatic.com/fp/18b43e3ba93a5af8e4b7e8721776ec6a-p_e.jpg
"701 1st St, San Diego, CA 92118",San Diego,CA,92118,32.701077,-117.17631,17250000,8,7,9130,Single Family,18084400,59584,https://photos.zillowstatic.com/fp/7fdb92c7e07061840a1bead5cdd0ae97-p_e.jpg
"9860 La Jolla Farms Rd, La Jolla, CA 92037",La Jolla,CA,92037,32.88467,-117.24978,17250000,6,7,11449,Single Family,17143800,55430,https://photos.zillowstatic.com/fp/909bc70bce32c8765d3d3a84cc6c2a18-p_e.jpg
"11782 Southampton Ct, Beverly Hills, CA 90077",Beverly Hills,CA,90077,34.110115,-118.47428,17250000,12,8,13377,Single Family,15750000,66754,https://photos.zillowstatic.com/fp/e6c9d0228c2167d2689cbe83d7e500ed-p_e.jpg
"5731 Lago Lindo, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,33.02594,-117.2099,17000000,9,7,11418,Single Family,17075100,54850,https://photos.zillowstatic.com/fp/458399c4a81f408fee9f7b24dfd7615c-p_e.jpg
"2681 Idle Hour Ln, La Jolla, CA 92037",La Jolla,CA,92037,32.88241,-117.246284,17000000,14,9,14252,Single Family,18822300,59993,https://photos.zillowstatic.com/fp/d3bc51905ce920931efc2ea0f2c7602b-p_e.jpg
355 Bellaire St,Del Mar,CA,92014,32.96435,-117.26341,16995000.0,5.0,5.0,4194.0,Single Family,,,https://photos.zillowstatic.com/fp/71a91c8aca45e13a6925641eb92c2a70-p_e.jpg
16634 36 Los Morros,Rancho Santa Fe,CA,92091,33.017548,-117.23575,16950000.0,8.0,6.0,10261.0,Single Family,15578400.0,56096.0,https://photos.zillowstatic.com/fp/41e9b69d5db64859edafe0d1693b2440-p_e.jpg
"15250 Las Planideras, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,32.99054,-117.22242,16750000,9,7,8928,Single Family,17484100,55721,https://photos.zillowstatic.com/fp/b261efb87aff2d18633db793fe65c57d-p_e.jpg
"6395 Clubhouse Dr, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,32.97483,-117.184555,16595000,8,6,11622,Single Family,18176100,58029,https://photos.zillowstatic.com/fp/86daf0c847c77679d1f808191063dc38-p_e.jpg
"6424 La Valle Plateada, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,33.024124,-117.19423,16500000,12,7,18223,Single Family,17357400,57893,https://photos.zillowstatic.com/fp/6a2fba65441f46240a397e41aa326a7d-p_e.jpg
"5801 Lago Lindo ,, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,33.0264,-117.2091,16400000,7,6,10361,Single Family,16418400,49060,https://photos.zillowstatic.com/fp/f4b7e4c68c152ca6dbc2dabb222a8f13-p_e.jpg
"532 Neptune Ave, Encinitas, CA 92024",Encinitas,CA,92024,33.058273,-117.30207,16250000,6,5,6329,Single Family,17027600,54279,https://photos.zillowstatic.com/fp/d07dca72a1fc0809cc96c3af06b6bc38-p_e.jpg
